key,ko,en,zh-TW,zh-CN
TITLE,Gaia Protocol,Gaia Protocol,Gaia Protocol,Gaia Protocol
WHY_MENU,WHY,WHY,為什麼,为什么
BUYBACK_FUND_MENU,BUYBACK FUND,BUYBACK FUND,回購基金,回购基金
SNEAK_PEEK_MENU,SNEAK PEEK,SNEAK PEEK,搶先看,抢先看
TEAM_MENU,TEAM,TEAM,團隊,团队
PARTNER_MENU,PARTNER,PARTNER,合作夥伴,合作伙伴
ENTER_APP_BUTTON,Enter App,Enter App,進入App,进入App
ENTER_APP_TITLE,현재 준비중입니다.,현재 준비중입니다.,準備中,准备中
ENTER_APP_DESC,Gaia Protocol은 2022년 2월 10일에 민팅이 이루어 집니다.,Minting will be made on 10th February 2022,鑄幣將在2022年2月10日進行。,铸币将在2022年2月10日进行。
CONFIRM_BUTTON,확인,Confirm,確認,确认
CANCEL_BUTTON,취소,Cancel,取消,取消
INIT_DESC,Gaia Protocol은 최초의 투자형 PFP(프로필 이미지) NFT 프로젝트입니다.\n투자자들의 초기 투자비용을 최대한 보장하고 지지(Backing)합니다.\nNFT 투자자들은 수준 높은 커뮤니티를 구성하고 매력적인 문화를 만들고 최고의 NFT 허브를 구축해 나갑니다.,Gaia Protocol is an investment-purposed Klaytn network PFP NFT project by combining Defi 2.0 and NFT concepts. Gaia Project will secure and back up the investors’ principal as much as the project can could. NFT holders will build up the refined community to become a hub of NFT investment.,Gaia Protocol是一個投資用途，在Klaytn上的PFP NFT項目，由DeFi 2.0和NFT元素結合而成。 Gaia Protocol項目會最大化保障好投資者的本金利益。 NFT的持有者會形成一個強壯的投資社區。,Gaia Protocol是一个投资用途，在Klaytn上的PFP NFT项目，由DeFi 2.0和NFT元素结合而成。Gaia Protocol项目会最大化保障好投资者的本金利益。NFT的持有者会形成一个强壮的投资社区。
WHY_TITLE,Why Gaia Protocol?,Why Gaia Protocol?,為什麼選擇Gaia Protocol,为什么选择Gaia Protocol
WHY_DESC,Gaia Protocol NFT 홀더는 민팅 가격의 절반이 Defi 2.0에 예치되어 복리이자혜택을 영구적으로 받을 수 있게 됩니다.\n 또한 NFT를 소유한 홀더들을 중심으로 NFT & Crypto 투자자들의 사교모임을 형성하여 매력적이고 강력한 커뮤니티 형성을 목표로 합니다.\n 이를 통해 가이아 프로토콜에서 민팅 된 NFT 의 가치상승을 기대할 수 있게 됩니다.\n 최종적으로 가이아 프로토콜이 건강하고 견고하게 성장하는 것을 목표하고 있으며 이는 클레이튼 생태계가 더욱 확장되는 것을 의미합니다.,"The project deposits 50% of all minted Klay permanently on Kronos DAO, the first Defi 2.0 initiative on Klaytn network. The compound interest generated from the deposit will be distributed to the NFT holders. We have a prospective mission to create a proactive community with enthusiasts in both DeFi 2.0 and NFT investment, with information exchange as well as various internal events exclusively for our community members.",項目於鑄幣所得的收入中，有百分之50的金額會被儲存到Kronos DAO ，是Klaytn上的第一個DeFi 2.0的項目。滾存的利息會永遠分發給NFT的投資者。我們團隊的任務是建立一個活躍的平台，會員能積極參與和交換投資相關的資訊，也可以參與定期舉行的會員專屬的活動，促進社區的發展。,项目于铸币所得的收入中，有百分之50的金额会被储存到Kronos DAO ，是Klaytn上的第一个DeFi 2.0的项目。滚存的利息会永远分发给NFT的投资者。我们团队的任务是建立一个活跃的平台，会员能积极参与和交换投资相关的资讯，也可以参与定期举行的会员专属的活动，促进社区的发展。
DEFI_TITLE,WHY DeFi 2.0?,WHY DeFi 2.0?,為什麼選擇DeFi 2.0?,为什么选择DeFi 2.0?
